행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1107072,11260575,중랑구,면목3·8동,0.003175808393405247,0.00497393698526843,0.0018345501505869627,0.0032073506367354667,0.002274338972748455,0.0025243676102220665
1107059,11260580,중랑구,상봉1동,0.001746259714305157,0.0040296499220011965,0.000785569759527073,0.00254668004299159,0.0019248303110120555,0.003744370465547898
1107060,11260590,중랑구,상봉2동,0.003948399125488689,0.0030196432462721414,0.0015478288436972596,0.0019475382165646787,0.003401377773275251,0.0017715998909784683
1107061,11260600,중랑구,중화1동,0.0018475663136114627,0.0026357023524162335,0.0008741503258832415,0.0023450751458253603,0.0013575119035558708,0.002297239419070981
1107062,11260610,중랑구,중화2동,0.0038138353092383942,0.006682646909275804,0.0023287364681529553,0.0032335330909128994,0.0013853712896363085,0.00101883217173487
1107064,11260620,중랑구,묵1동,0.0028698419975205468,0.0030196432462721414,0.0010070211754174942,0.003748454689735736,0.004229561341302806,0.0038936261340186116
1107065,11260630,중랑구,묵2동,0.0021847433284743686,0.002867450459518448,0.0011398920249517468,0.002263036789402739,0.0036419815621517577,0.002686602032472842
1107073,11260655,중랑구,망우본동,0.004222643252903739,0.006015074003742559,0.001596781261946721,0.003939150230994702,0.002684631749569446,0.001362769146906514
1107068,11260660,중랑구,망우3동,0.0020199921922287607,0.004880545957033209,0.0014848900202336663,0.002154815978802685,0.002907506838212947,0.0022388350270607016
1107069,11260680,중랑구,신내1동,0.0020077126044340567,0.004351330130366957,0.0008974610012401279,0.004388179320137667,0.003363387701347381,0.003043517761424548
1107070,11260690,중랑구,신내2동,0.0016336968261870396,0.0036284143932869147,0.00044756496685221966,0.002563698638206921,0.0013144564887042852,0.003679476696647588
1108081,11290525,성북구,성북동,0.0020685988939161295,0.0010549727263608284,0.0015105317631262413,0.0018585178723614087,0.003692634991388917,0.004484159431011435
